,sentence_length_avg,sentence_length_std_dev,word_length_avg,word_length_std_dev,word_richness,author
a_christmas_carol.txt,13.734151329243353,13.919865581879383,4.281577668217485,2.2502027554160042,7.953911870503597,charles_dickens
a_house_to_let.txt,17.87784090909091,15.312775708008688,4.1848862373515825,2.288443960871191,8.779360967184802,charles_dickens
a_message_from_the_sea.txt,17.362252663622527,15.660874469251086,4.244162721656102,2.3410903251723245,6.452725724020443,charles_dickens
a_tale_of_two_cities.txt,22.026765275576686,17.553479934349753,4.177621470758214,2.4044862425402487,15.371135940409683,charles_dickens
american_notes_for_general_circulation.txt,30.30800756620429,22.82166785142466,4.380955559794011,2.487057799244987,10.9201420506283,charles_dickens
bardell_v._pickwick.txt,19.595744680851062,16.735134000797444,4.510574392320793,2.5637083836546606,8.089616810877626,charles_dickens
barnaby_rudge:_a_tale_of_the_riots_of_eighty.txt,24.97463183919166,22.13091711930509,4.1119806966784544,2.4061029765496484,20.702507296365084,charles_dickens
bleak_house.txt,15.997272151590433,14.667124737510315,4.242841616441063,2.4262882419496177,23.956042100523444,charles_dickens
david_copperfield.txt,22.252047931758174,17.554462050284947,3.9422165359285204,2.4446709154445996,27.041263465400768,charles_dickens
doctor_marigold.txt,17.14175654853621,16.392854168594667,4.002314623460362,2.24202932127035,6.585285848172446,charles_dickens
dombey_and_son.txt,24.708443371312157,20.76040578699902,4.104961617282561,2.437171843063193,25.25062814070352,charles_dickens
george_silvermans_explanation.txt,21.85042735042735,20.002966121641197,4.075189917127072,2.4724572151570823,5.752385082393755,charles_dickens
going_into_society.txt,18.92063492063492,16.4104608403817,4.106630476929042,2.3390142035263466,4.565799256505576,charles_dickens
great_expectations.txt,23.960117960960538,17.750168558374618,3.9792583474380674,2.373396474687831,19.068903993203058,charles_dickens
hard_times.txt,21.822532631096863,18.191281079195328,3.999016583970319,2.42901988570527,13.809937493378536,charles_dickens
holiday_romance.txt,18.732307692307693,16.021400185543254,4.064101673727342,2.4176963239061817,6.661130881771451,charles_dickens
hunted_down:_the_detective_stories_of_charles_dickens.txt,19.71990171990172,17.95312411104559,3.9647148787415336,2.3686744449954804,5.8890115958034235,charles_dickens
little_dorrit.txt,23.035910372458822,20.477666217725304,4.107496797961809,2.4869287914075455,23.935951134380453,charles_dickens
martin_chuzzlewit.txt,21.527505389804578,19.748015966528186,4.035393184509451,2.44738670148344,24.452854245146334,charles_dickens
master_humphreys_clock.txt,30.38501628664495,23.666706577891954,4.222371218942166,2.476373346538777,8.81918874419997,charles_dickens
mrs._lirripers_legacy.txt,24.82251082251082,26.24243638248636,4.099137583622149,2.23338208747486,6.069311246730601,charles_dickens
mrs._lirripers_lodgings.txt,27.36082474226804,31.850613150812134,4.063338663700201,2.2664924454101096,6.44020659515296,charles_dickens
mugby_junction.txt,14.731112916328188,14.814805819400235,4.253118609406953,2.3875937198794697,6.884404727587201,charles_dickens
nicholas_nickleby.txt,25.8496823048133,23.795977254494588,4.157490936203393,2.53346018870344,23.896678751023273,charles_dickens
no_thoroughfare.txt,13.630282760717543,11.297201560578811,4.368594627314283,2.4839966084542278,10.030350060355234,charles_dickens
oliver_twist.txt,15.996519469219056,16.247554286671836,4.361728692389596,2.337958649000684,17.299700651523157,charles_dickens
our_mutual_friend.txt,15.104367245657569,13.784134289043372,4.2850020023416695,2.410834698690554,23.11662731094857,charles_dickens
the_cricket_on_the_hearth.txt,14.170110523786642,15.656478377106128,4.2716946699389595,2.307485476497925,8.669399512519389,charles_dickens
the_haunted_man_and_the_ghosts_bargain.txt,21.671983356449378,19.06230837656535,3.953582350371341,2.314462301903366,9.536725663716814,charles_dickens
the_holly-tree.txt,22.034843205574912,18.515616496452612,4.231462781304097,2.4069863082700125,5.699266503667482,charles_dickens
the_lamplighter.txt,24.565384615384616,22.083050275436488,3.849974593495935,2.4296980096410534,5.806389776357827,charles_dickens
the_lazy_tour_of_two_idle_apprentices.txt,23.089496581727783,20.63092937904222,4.262643169699433,2.4923647899808095,8.027009003001,charles_dickens
the_loving_ballad_of_lord_bateman.txt,22.3671875,17.373143378210052,4.326007326007326,2.5505765691527795,3.3403582718651212,charles_dickens
the_mystery_of_edwin_drood.txt,22.895034731155132,19.16485811352457,4.092640784776573,2.523776804423779,12.228460990743566,charles_dickens
the_old_curiosity_shop.txt,26.003786395090742,22.340797374750778,4.117581240021173,2.4219085832332734,19.117532747948754,charles_dickens
emma.txt,19.65728077232502,19.079353315446728,4.253040764675529,2.4698426104145708,22.416695814387314,jane_austen
lady_susan.txt,23.230853391684903,16.537745763528918,4.341559339614487,2.5497865364056436,8.834785522788204,jane_austen
love_and_friendship_and_other_early_works.txt,23.206948640483382,19.86782791745195,4.3372660338862765,2.542120663698778,8.540938988432751,jane_austen
mansfield_park.txt,21.54774015404738,19.53822589408815,4.340260666174687,2.408612388552976,22.144012367701272,jane_austen
northanger_abbey.txt,19.902058987200892,17.758814538501188,4.413397464153292,2.4715483584496076,13.893727955834995,jane_austen
persuasion.txt,21.16292442497262,19.1394266004343,4.378642053538337,2.413051807593203,16.140679370339686,jane_austen
pride_and_prejudice.txt,18.91513223970539,14.969984319962666,4.418386106597068,2.4837564767201834,21.08485294117647,jane_austen
sense_and_sensibility.txt,22.920148944973107,20.27153884212734,4.381432536559095,2.4869800408936165,20.27661406025825,jane_austen
the_complete_project_gutenberg_works_of_jane_austen.txt,20.681444062186998,18.944971232389776,4.333431205703898,2.451512128108825,38.85585874799358,jane_austen
the_letters_of_jane_austen.txt,17.853493975903614,14.005549023682827,4.124867656552615,2.315634137257107,13.420093387558367,jane_austen
